Language,slots,intents,fully correct,sd slots,sd intents
ar,71.3,87.6,44.5,0.9,1.0
da,79.6,97.5,62.1,0.6,0.2
de,82.2,95.3,63.2,0.7,1.3
de-ba,45.5,76.9,16.4,2.0,2.1
de-by,42.0,61.5,11.9,1.4,2.1
de-st,46.3,77.3,14.6,1.6,0.5
en,96.1,99.2,91.9,0.2,0.2
gsw,21.2,56.8,3.8,1.8,3.4
id,80.1,98.1,60.3,1.1,0.4
it,83.6,97.7,64.2,0.7,0.6
ja,42.9,76.9,31.1,2.7,3.6
kk,52.2,86.7,23.7,1.8,2.1
lt,64.9,80.9,35.1,0.2,0.9
nap,56.1,77.9,23.8,2.6,1.6
nl,87.0,95.7,73.4,0.5,0.8
sr,71.5,87.9,43.7,0.4,3.2
tr,59.1,96.8,38.8,0.5,0.7
zh,74.4,97.4,56.4,0.6,0.2
Avg.,64.2,86.0,42.2,,
Diff.,-0.4,-0.8,-0.7,,
