Language,slots,intents,fully correct,sd slots,sd intents
de,81.0,89.8,58.9,0.7,0.9
de-ba,50.4,62.1,19.1,2.3,4.6
de-by,46.3,49.1,15.1,1.2,5.8
de-st,49.3,62.7,16.7,1.1,3.6
en,95.6,99.1,91.1,0.4,0.2
gsw,28.7,42.0,7.4,0.8,8.3
Avg.,48.7,58.0,17.0,,
Diff.,3.4,-15.5,1.9,,
