Language,slots,intents,fully correct,sd slots,sd intents
de,82.7,94.2,64.7,0.6,0.7
de-ba,55.3,82.8,24.9,2.3,3.5
de-by,53.9,67.7,21.6,0.5,0.5
de-st,50.2,79.1,19.6,1.4,1.3
en,95.4,99.2,91.0,0.3,0.2
gsw,30.1,66.2,7.9,1.4,3.2
Avg.,53.1,76.6,22.0,,
Diff.,7.8,3.1,6.9,,
