Language,slots,intents,fully correct,sd slots,sd intents
de,78.8,82.9,53.7,0.8,1.3
de-ba,48.2,69.1,15.5,0.7,0.5
de-by,47.1,67.9,15.9,1.3,2.7
de-st,46.5,73.8,14.7,2.6,1.0
en,93.7,99.2,87.5,0.4,0.0
gsw,30.0,63.9,7.5,0.9,1.5
Avg.,47.2,70.3,15.4,,
Diff.,1.9,-3.2,0.3,,
