Language,slots,intents,fully correct,sd slots,sd intents
ar,19.7,27.2,4.9,0.5,9.3
da,37.3,61.9,12.4,1.1,1.7
de,78.8,82.9,53.7,0.8,1.3
de-st,46.5,73.8,14.7,2.6,1.0
en,93.7,99.2,87.5,0.4,0.0
id,17.2,46.9,1.9,0.4,1.2
it,28.0,52.3,4.5,0.7,0.7
ja,0.7,5.6,0.9,0.5,6.2
kk,5.4,34.9,1.9,1.2,2.9
nl,4.4,45.7,1.9,0.3,4.1
sr,0.8,46.6,1.3,0.1,1.5
tr,1.0,23.8,0.0,0.2,5.1
Avg.,21.8,45.6,8.9,,
Diff.,-47.8,-46.2,-40.0,,
