Language,slots,intents,fully correct,sd slots,sd intents
de,83.1,97.9,66.1,0.7,0.4
de-ba,46.7,77.7,17.1,2.0,0.7
de-by,43.3,64.6,12.4,0.9,3.1
de-st,46.0,78.3,15.9,1.0,0.8
en,95.1,99.1,90.0,0.2,0.1
gsw,20.7,57.5,5.3,2.5,2.7
Avg.,45.3,73.5,15.1,,
Diff.,0.0,0.0,0.0,,
