Language,slots,intents,fully correct,sd slots,sd intents
de,78.4,93.0,57.4,2.4,0.9
de-ba,45.9,65.4,16.7,5.1,3.5
de-by,44.1,54.8,14.0,2.6,2.4
de-st,44.1,67.7,14.7,5.3,1.1
en,95.3,99.3,90.7,0.4,0.1
gsw,25.7,46.4,5.9,5.0,3.1
Avg.,44.7,62.6,15.1,,
Diff.,-0.6,-10.9,0.0,,
