Language,slots,intents,fully correct,sd slots,sd intents
de,83.0,95.3,64.9,0.9,1.0
de-ba,56.6,84.7,25.6,0.3,0.5
de-by,53.7,67.7,20.1,1.1,1.0
de-st,54.2,81.2,21.3,1.5,2.6
en,95.5,99.4,91.2,0.3,0.2
gsw,32.7,69.1,10.3,0.9,3.3
Avg.,54.8,77.9,22.3,,
Diff.,9.5,4.4,7.2,,
