Language,slots,intents,fully correct,sd slots,sd intents
de,82.5,96.0,65.5,0.4,1.1
de-ba,56.5,85.8,25.7,0.9,1.3
de-by,52.5,69.0,20.5,1.1,1.7
de-st,52.1,81.1,22.6,1.6,0.7
en,94.4,99.1,89.5,0.8,0.1
gsw,31.8,69.4,9.2,1.9,1.7
Avg.,53.7,78.6,22.9,,
Diff.,8.4,5.1,7.8,,
