Language,slots,intents,correct
de,21.1,88.4,0.092
de-ba,7.5,39.6,0.094
de-by,37.5,88.4,0.248
de-st,6.0,30.4,0.04
en,27.8,70.6,0.102
gsw,13.6,77.0,0.038
