Language,slots,intents,fully correct,sd slots,sd intents
de,81.4,95.1,63.1,1.3,2.7
de-ba,55.6,83.1,25.5,1.7,1.7
de-by,53.2,70.5,21.1,1.6,1.8
de-st,52.3,81.5,20.4,0.5,1.2
en,94.8,99.3,89.9,0.7,0.2
gsw,29.3,64.5,7.3,0.4,3.6
Avg.,53.7,78.4,22.3,,
Diff.,8.4,4.9,7.2,,
