Language,slots,intents,fully correct,sd slots,sd intents
de,80.0,97.3,63.4,0.3,0.5
de-ba,53.4,83.3,23.5,0.9,1.6
de-by,51.8,66.7,19.1,1.7,1.0
de-st,49.3,80.5,20.7,1.4,1.1
en,95.1,99.2,90.3,0.3,0.2
gsw,29.5,64.3,7.0,0.9,1.9
Avg.,51.5,76.8,21.1,,
Diff.,6.2,3.3,6.0,,
