Language,slots,intents,fully correct,sd slots,sd intents
ar,52.4,67.9,18.5,0.4,0.7
da,70.3,84.8,44.5,0.8,0.8
de,68.4,74.8,34.6,1.2,1.7
de-st,41.3,65.8,9.5,1.0,2.0
en,94.1,99.0,88.3,0.3,0.2
id,63.8,76.0,31.6,1.1,0.4
it,69.9,76.3,37.7,1.1,0.6
ja,39.4,55.5,20.3,3.6,0.9
kk,32.2,56.9,8.5,1.0,3.0
nl,17.5,75.7,8.7,0.4,6.0
sr,2.9,71.3,1.6,0.3,0.8
tr,5.3,84.8,2.5,0.3,3.6
Avg.,42.1,71.8,19.8,,
Diff.,-27.5,-20.0,-29.1,,
