Language,slots,intents,fully correct,sd slots,sd intents
de,82.2,94.9,63.5,1.1,1.2
de-ba,55.9,82.8,25.6,1.1,1.8
de-by,52.5,66.3,18.5,1.8,1.6
de-st,52.9,79.6,19.6,0.9,1.0
en,95.0,99.1,90.3,0.2,0.1
gsw,33.3,65.1,10.1,0.1,1.1
Avg.,53.8,76.2,21.2,,
Diff.,8.5,2.7,6.1,,
