Language,slots,intents,fully correct,sd slots,sd intents
de,79.8,92.5,57.8,1.2,1.7
de-ba,43.6,54.1,14.9,4.2,2.8
de-by,38.6,38.9,10.2,2.9,3.2
de-st,44.1,53.8,13.8,4.0,2.5
en,95.1,99.2,90.5,0.2,0.2
gsw,22.8,28.8,3.8,3.4,1.4
Avg.,42.1,48.9,13.0,,
Diff.,-3.2,-24.6,-2.1,,
