Language,slots,intents,fully correct,sd slots,sd intents
de,82.3,96.3,65.1,1.9,0.7
de-ba,56.4,84.3,24.9,3.6,2.9
de-by,53.6,69.9,21.5,1.9,1.0
de-st,53.0,80.7,21.5,3.2,1.5
en,95.4,99.1,90.7,0.5,0.1
gsw,30.7,65.4,7.4,2.4,1.8
Avg.,54.3,78.3,22.6,,
Diff.,9.0,4.8,7.5,,
