Language,slots,intents,fully correct,sd slots,sd intents
de,68.4,74.8,34.6,1.2,1.7
de-ba,43.2,65.7,13.4,1.1,2.4
de-by,44.1,61.3,11.0,1.1,1.2
de-st,41.3,65.8,9.5,1.0,2.0
en,94.1,99.0,88.3,0.3,0.2
gsw,21.3,48.7,3.0,1.3,2.2
Avg.,42.9,64.3,11.3,,
Diff.,-2.4,-9.2,-3.8,,
