Language,slots,intents,fully correct,sd slots,sd intents
ar,19.7,27.2,4.9,0.5,9.3
da,37.3,61.9,12.4,1.1,1.7
de,78.8,82.9,53.7,0.8,1.3
de-st,46.5,73.8,14.7,2.6,1.0
en,93.7,99.2,87.5,0.4,0.0
id,17.2,46.9,1.9,0.4,1.2
it,28.0,52.3,4.5,0.7,0.7
ja,0.7,5.6,0.9,0.5,6.2
kk,5.4,34.9,1.9,1.2,2.9
nl,44.4,59.1,12.8,1.4,0.4
sr,18.5,45.7,3.9,1.7,4.1
tr,8.3,46.6,2.3,0.9,1.5
zh,14.5,23.8,3.3,1.5,5.1
Avg.,26.6,46.7,9.8,,
Diff.,-43.0,-45.1,-39.1,,
