Language,slots,intents,fully correct,sd slots,sd intents
de,81.1,94.7,61.7,0.9,1.5
de-ba,50.2,79.3,21.2,3.3,1.4
de-by,48.4,65.9,18.2,2.6,1.0
de-st,48.9,76.6,18.5,1.8,2.5
en,94.7,99.1,89.5,0.3,0.2
gsw,21.8,58.8,5.3,2.2,1.0
Avg.,49.2,74.0,19.3,,
Diff.,3.9,0.5,4.2,,
