Language,slots,intents,fully correct,sd slots,sd intents
de,80.9,96.4,63.3,1.5,1.0
de-ba,50.9,79.4,21.3,0.2,2.3
de-by,48.4,64.4,17.7,2.5,4.0
de-st,48.5,77.7,18.0,2.2,2.4
en,95.1,99.3,90.3,0.1,0.2
gsw,22.6,59.1,5.1,0.3,4.6
Avg.,49.3,73.8,19.0,,
Diff.,4.0,0.3,3.9,,
